species,year,orig_grid
species4,2003,SK555315
species4,2004,SK555315
species4,2005,SK555315
species4,2005,SK555315
species4,2009,SK555315
species4,1998,SK5635
species10,2001,SK5036
species10,2001,SK5036
species10,2001,SK5036
species10,2002,SK5036
species10,2000,SK535320
species10,2000,SK535320
species10,2000,SK535354
species10,2004,SK535354
species10,2000,SK53A
species10,2000,SK53A
species10,2006,SK53D
species10,2000,SK53G
species10,2004,SK53G
species10,2005,SK53G
species10,2007,SK53G
species10,2007,SK53G
species10,2007,SK53G
species10,2008,SK53G
species10,2008,SK53G
species10,2008,SK53G
species10,2008,SK53G
species10,2008,SK53G
species10,2008,SK53G
species10,2009,SK53G
species10,2009,SK53G
species10,2009,SK53G
species10,2009,SK53G
species10,2009,SK53G
species10,2010,SK53G
species10,2010,SK53G
species10,2010,SK53G
species10,2011,SK53G
species10,2011,SK53G
species10,2007,SK53G
species10,1998,SK53H
species10,1998,SK53H
species10,1998,SK53H
species10,2002,SK53H
species10,2004,SK53H
species10,2005,SK53H
species10,2005,SK53H
species10,2005,SK53H
species10,2006,SK53H
species10,2006,SK53H
species10,2006,SK53H
species10,2006,SK53H
species10,2009,SK53H
species10,2009,SK53H
species10,2011,SK53H
species10,2004,SK53K
species10,2004,SK53K
species10,2005,SK53K
species10,2005,SK53K
species10,2005,SK53K
species10,2005,SK53K
species10,2005,SK53K
species10,2005,SK53K
species10,2006,SK53K
species10,2006,SK53K
species10,2006,SK53K
species10,2006,SK53K
species10,2006,SK53K
species10,2007,SK53K
species10,2007,SK53K
species10,2007,SK53K
species10,2007,SK53K
species10,2008,SK53K
species10,2008,SK53K
species10,2008,SK53K
species10,2008,SK53K
species10,2008,SK53K
species10,2008,SK53K
species10,2009,SK53K
species10,2009,SK53K
species10,2011,SK53K
species10,2011,SK53K
species10,2011,SK53K
species10,2000,SK53L
species10,2007,SK53L
species10,2007,SK53L
species10,2007,SK53L
species10,2007,SK53L
species10,2008,SK53L
species10,2008,SK53L
species10,2008,SK53L
species10,2008,SK53L
species10,2008,SK53L
species10,2008,SK53L
species10,2008,SK53L
species10,2008,SK53L
species10,2008,SK53L
species10,2008,SK53L
species10,2008,SK53L
species10,2009,SK53L
species10,2009,SK53L
species10,2009,SK53L
species10,2009,SK53L
species10,2009,SK53L
species10,2010,SK53L
species10,2010,SK53L
species10,2010,SK53L
species10,2010,SK53L
species10,2005,SK53M
species10,2008,SK53M
species10,2005,SK53M
species10,2006,SK53M
species10,2008,SK53M
species10,2009,SK53M
species10,1999,SK53N
species10,2000,SK53R
species10,2003,SK53R
species10,1999,SK53R
species10,2001,SK53R
species10,2000,SK53V
species10,2001,SK53V
species10,2004,SK555315
species13,2001,SK5036
species13,2002,SK5036
species13,1998,SK5036
species13,1999,SK5036
species13,1999,SK5036
species13,1999,SK5036
species13,1999,SK5036
species13,1999,SK5036
species13,1999,SK5036
species13,1999,SK5036
species13,1999,SK5036
species13,1999,SK5036
species13,1999,SK5036
species13,1999,SK5036
species13,2000,SK5036
species13,2000,SK5036
species13,2000,SK5036
species13,2000,SK5036
species13,2000,SK5036
species13,2000,SK5036
species13,2000,SK5036
species13,2000,SK5036
species13,2000,SK5036
species13,2000,SK5036
species13,2000,SK5036
species13,2001,SK5036
species13,2001,SK5036
species13,2001,SK5036
species13,2002,SK5036
species13,2002,SK5036
species13,2002,SK5036
species13,2002,SK5036
species13,2002,SK5036
species13,2002,SK5036
species13,2002,SK5036
species13,2002,SK5036
species13,2002,SK5036
species13,2002,SK5036
species13,2003,SK5036
species13,2003,SK5036
species13,2003,SK5036
species13,2003,SK5036
species13,2003,SK5036
species13,2003,SK5036
species13,2003,SK5036
species13,2003,SK5036
species13,2003,SK5036
species13,2004,SK5036
species13,2004,SK5036
species13,2004,SK5036
species13,2004,SK5036
species13,2004,SK5036
species13,2004,SK5036
species13,2004,SK5036
species13,2004,SK5036
species13,2004,SK5036
species13,2004,SK5036
species13,2004,SK5036
species13,2004,SK5036
species13,2004,SK5036
species13,2004,SK5036
species13,2004,SK5036
species13,2004,SK5036
species13,2004,SK5036
species13,2004,SK5036
species13,2005,SK5036
species13,2005,SK5036
species13,2005,SK5036
species13,2005,SK5036
species13,2005,SK5036
species13,2005,SK5036
species13,2005,SK5036
species13,2008,SK522327
species13,2007,SK538346
species13,1998,SK53D
species13,2011,SK53D
species13,2000,SK53F
species13,1998,SK53G
species13,1999,SK53G
species13,2000,SK53G
species13,2000,SK53G
species13,2001,SK53G
species13,2002,SK53G
species13,2003,SK53G
